GEO_ID,NAME,DP05_0002PE,DP05_0003PE,DP05_0005PE,DP05_0006PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0017PE,DP05_0019PE,DP05_0024PE,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0071PE
id,Geographic Area Name,Percent Male,Percent Female,Percent 5 and under,Percent 5 to 9,Percent 10 to 14,Percent 15 to 19,Percent 20 to 24,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Percent under 18 years,Percent 65 years and over,Percent White,Percent Black ,Percent American Indian and Alaska Native,Percent Asian,Percent Hispanic/Latino
0500000US05097,"Montgomery County, Arkansas",50,50,4.6,5.4,4.8,5.5,5,8.8,10,12.9,7.5,8.6,15.1,9.1,2.7,18.4,26.8,92.1,0.3,1.5,0.4,4.3
0500000US05099,"Nevada County, Arkansas",50.7,49.3,6,6.2,6.7,6,5.2,10.2,10.7,14.1,7.4,7.2,12.9,5.9,1.5,22.8,20.3,62.8,34.5,0.2,0,0
0500000US05101,"Newton County, Arkansas",49.5,50.5,4.5,5.9,5.5,5.5,5.3,9.1,10.3,11.7,6.3,10.4,15.5,7.8,2.2,19.8,25.5,94.2,0,2.5,0.7,0.4
0500000US05103,"Ouachita County, Arkansas",47.7,52.3,6.1,5.5,7.6,5.8,6.3,10.5,10.4,12.7,7.4,8,11.2,6,2.5,22.8,19.6,57,41.6,0.1,0.1,2.3
0500000US05105,"Perry County, Arkansas",49.9,50.1,5.6,7.3,5.4,5.9,5.8,10.6,11.2,13.8,7.7,6.9,11.8,6.1,2,22.5,19.9,96.2,0.7,0.1,0,2.9
0500000US05107,"Phillips County, Arkansas",47,53,7.5,5.8,8.3,6.2,7.8,10,10.8,11.4,7.1,7,10.6,5,2.5,25.8,18.1,36.1,63.2,0,0,1.9
0500000US05109,"Pike County, Arkansas",49.4,50.6,5.3,6.4,6.2,6.6,5.5,10.8,11.8,13.1,5.5,8.6,11.4,7,1.7,21.7,20.2,90.9,4.1,0.5,0.6,6.5
0500000US05111,"Poinsett County, Arkansas",48.7,51.3,6.4,6.3,6.9,6.3,5.8,12.3,11.7,13.4,7,6,10.7,5.3,1.8,23.8,17.8,88.4,4.6,0.2,0.1,3
0500000US05113,"Polk County, Arkansas",48.4,51.6,5.9,5.9,7,6.7,4.7,10.9,10.7,12,6.6,7.3,13,7.4,2.1,23.3,22.4,91.6,0.5,1.5,0.3,6.6
0500000US05115,"Pope County, Arkansas",49.1,50.9,6.2,6.7,6.4,8.1,9.1,13.3,10.6,12.2,6.1,6.1,8.8,4.5,1.9,22.9,15.3,91.2,3,0.6,1,9
0500000US05117,"Prairie County, Arkansas",50,50,5.4,5.1,6.1,5.6,4.7,10.6,10.5,13.5,7.7,7.3,12.3,8.3,2.8,20.1,23.4,85.7,12.4,0.4,0.2,1.7
0500000US05119,"Pulaski County, Arkansas",47.8,52.2,6.7,7,5.9,5.9,6.6,14.9,12.8,12.3,6.8,6.2,9,3.9,2.1,23.3,15,55.9,36.8,0.3,2.2,6.2
0500000US05121,"Randolph County, Arkansas",50,50,6,5.4,7.6,6.5,5.3,12.3,11.4,12.4,5.9,7.2,10.8,6.8,2.3,23.4,19.9,95.2,1.1,0.7,0.1,2.1
0500000US05123,"St. Francis County, Arkansas",54.4,45.6,6.4,5.7,6.8,6.4,5.5,13.7,14.3,12.3,6.8,6,9.6,5.2,1.3,23,16.1,41,53.5,0.4,0.6,5.2
0500000US05125,"Saline County, Arkansas",49,51,5.8,6.8,6.7,6.4,5.1,12.8,13.7,12.8,6.2,6.2,10.4,5.5,1.6,23.5,17.5,88.4,7.1,0.4,1.3,4.8
0500000US05127,"Scott County, Arkansas",51.2,48.8,7.1,6.5,7.3,6.5,5.2,11,10.4,12.3,6.8,6.2,12.3,6.9,1.5,25.5,20.7,89,0.2,1.9,0.7,7.7
0500000US05129,"Searcy County, Arkansas",50.6,49.4,4.8,5,6.5,5.3,5.2,10.1,9.8,12.7,7.4,8.1,14.2,8.4,2.7,20.1,25.3,93.2,0.6,2.8,0.7,2.4
0500000US05131,"Sebastian County, Arkansas",48.9,51.1,6.6,6.7,6.7,6.6,6.7,13.2,12.3,12.9,6.5,6.2,9.2,4.7,1.7,24.1,15.6,73.5,6.8,1.1,4.5,14.2
0500000US05133,"Sevier County, Arkansas",50.3,49.7,8,7.2,8.8,7.2,6.3,12.1,12.7,12.2,6.1,5.6,8.3,4.1,1.5,28.6,13.9,62.9,4.8,2.3,0.4,33.4
0500000US05135,"Sharp County, Arkansas",49,51,4.9,5.4,6.7,6.2,4.3,9.2,10.1,12.6,7.1,7.5,14.8,8.2,2.9,21.1,25.9,95,0.8,0.3,0.1,2.3
0500000US05137,"Stone County, Arkansas",49.6,50.4,4.6,4.6,6.3,5.5,5.1,8.9,10,11.4,10.6,6.3,14.7,9.7,2.3,19.5,26.7,96.5,0.1,0.5,0.5,1.9
0500000US05139,"Union County, Arkansas",48.4,51.6,6.7,6.8,6.7,6.2,5.7,11.9,11.7,12.6,6.7,7.7,9.9,5.6,1.8,24.2,17.2,63.9,32.7,0.9,0.7,4
